Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
CLAR,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
CLAY,5,37.2,40.6,22.2,1.23,0.199,0.075,0.031,0.431,0.27,1.36,33.8,18.8,-0.81
CLAY,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
CLAY,25,26.6,44.6,28.9,1.16,0.22,0.085,0.037,0.454,0.233,1.36,27.7,16.1,-0.63
CLAY,45,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
CLAY,60,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
CLAY,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
CLOU,5,36.6,54,9.4,1.5,0.282,0.058,0.032,0.358,0.026,1.8,18.4,1.2,0.72
CLOU,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
CLOU,25,31.5,50.2,18.2,1.51,0.232,0.077,0.031,0.359,0.091,1.45,15,4,-0.04
CLOU,45,16.9,43.8,39.4,1.5,0.299,0.186,0.074,0.419,0.197,1.27,9.2,5.5,-1.54
CLOU,60,19.4,42.8,37.8,1.57,0.247,0.171,0.085,0.385,0.388,1.29,10.8,10,-2.27
CLOU,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
COOK,5,36.2,46.1,17.6,1.03,0.281,0.072,0.029,0.464,0.081,1.46,79.9,4.9,0.7
COOK,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
COOK,25,21,60.8,18.2,1.35,0.246,0.072,0.03,0.389,0.078,1.49,25.5,3.7,0.29
COOK,45,23.4,55.9,20.7,1.27,0.242,0.075,0.031,0.408,0.101,1.45,25.4,5.2,0.15
COOK,60,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
COOK,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
COPA,5,44.6,33.4,22,1.45,0.243,0.091,0.037,0.387,0.105,1.42,19.6,4.6,-0.11
COPA,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
COPA,25,28.9,35.6,35.6,1.12,0.161,0.119,0.093,0.485,0.566,1.81,40.1,50.3,-1.22
COPA,45,20.8,24.5,54.7,1.18,0.307,0.199,0.101,0.522,0.344,1.29,63.6,14.1,-2.02
COPA,60,49.4,17.1,33.5,1.47,0.278,0.14,0.053,0.417,0.129,1.34,29.9,4.7,-0.51
COPA,75,54.7,13.8,31.5,1.59,0.253,0.155,0.06,0.389,0.259,1.28,27.4,8.8,-1.67
DURA,5,41.9,30.9,27.1,1.45,0.272,0.117,0.046,0.402,0.092,1.41,15.5,3.5,-0.05
DURA,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
DURA,25,44.3,29.1,26.6,1.51,0.205,0.102,0.046,0.381,0.266,1.35,31.3,11.9,-1.2
DURA,45,30,22.3,47.8,1.44,0.313,0.216,0.088,0.448,0.289,1.24,28.4,8,-2.3
DURA,60,17.8,19.3,63,1.49,0.453,0.333,0.072,0.475,0.106,1.16,3.5,2.4,-2.48
DURA,75,19.9,21.8,58.3,1.6,0.421,0.315,0.069,0.437,0.137,1.15,2,3,-3.64
ELKC,5,48.7,35.5,15.8,1.44,0.227,0.097,0.036,0.386,0.173,1.37,27.5,8.4,-0.64
ELKC,10,48.3,33.9,17.8,1.46,0.201,0.094,0.038,0.383,0.272,1.35,31.9,13.8,-1.1
ELKC,25,38.5,34.7,26.8,1.35,0.215,0.112,0.051,0.421,0.31,1.35,31,16.2,-1.21
ELKC,45,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ELKC,60,43.5,29,27.4,1.49,0.214,0.126,0.06,0.393,0.346,1.34,31.1,14.1,-1.54
ELKC,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ELRE,5,16.3,60.9,22.8,1.34,0.408,0.109,0.08,0.459,0.011,2.3,13.9,0.6,0.65
ELRE,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ELRE,25,11.6,59.8,28.6,1.47,0.288,0.116,0.05,0.403,0.061,1.49,10.5,2.1,0.27
ELRE,45,10.1,55.2,34.7,1.44,0.315,0.154,0.064,0.428,0.074,1.41,9.2,2.2,0.03
ELRE,60,9.2,47.7,43.2,1.62,0.329,0.212,0.069,0.405,0.146,1.23,3.1,3.7,-1.67
ELRE,75,5.3,44.1,50.6,-9.9,0.37,-9.9,0.104,0.509,0.146,1.33,17.8,3.4,-1
ERIC,5,63.5,22.6,13.8,1.43,0.128,0.047,0.026,0.39,0.493,1.41,111.7,37.3,-1.21
ERIC,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ERIC,25,57.4,26.3,16.3,1.46,0.165,0.057,0.027,0.378,0.3,1.37,57.3,18.2,-1.03
ERIC,45,47.8,32.1,20.1,1.5,0.216,0.083,0.033,0.372,0.152,1.38,23.3,7.2,-0.52
ERIC,60,42.2,33.9,23.9,1.47,0.234,0.107,0.043,0.389,0.169,1.36,19.6,7.3,-0.7
ERIC,75,37.6,35.3,27.1,1.53,0.275,0.127,0.048,0.386,0.091,1.39,9,3.1,-0.17
EUFA,5,36,53.2,10.8,1.62,0.331,0.099,0.048,0.368,0.016,1.91,5.9,0.7,0.69
EUFA,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
EUFA,25,19.8,40,40.2,1.63,0.369,0.23,0.063,0.41,0.07,1.26,1.5,1.7,-0.43
EUFA,45,15.9,45.8,38.3,1.68,0.386,0.254,0.062,0.407,0.075,1.21,0.7,1.8,-0.99
EUFA,60,19.3,52.5,28.2,1.78,-9.9,0.279,0.063,0.339,0.111,1.36,1.7,2.8,-0.81
EUFA,75,14.1,56.4,29.5,1.8,-9.9,0.291,0.065,0.339,0.108,1.35,1.4,2.6,-0.82
FAIR,5,18.6,51.7,29.8,1.34,0.222,0.08,0.036,0.407,0.151,1.4,15.2,7.8,-0.35
FAIR,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
FAIR,25,17.8,47.8,34.4,1.42,0.269,0.111,0.049,0.411,0.089,1.43,12.3,3.3,0
FAIR,45,15.9,45.9,38.2,1.38,0.266,0.126,0.057,0.426,0.135,1.38,15.2,5,-0.46
FAIR,60,13,43.5,43.5,1.47,0.283,0.159,0.068,0.421,0.16,1.31,12.4,4.9,-0.99
FAIR,75,8,41.8,50.2,1.71,0.313,0.206,0.065,0.384,0.16,1.21,3.2,4,-2.08
FITT,5,59,22.7,18.3,1.33,0.19,0.078,0.033,0.425,0.323,1.35,85.9,22.1,-1.05
FITT,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
FITT,25,56.8,16.5,26.7,1.36,0.189,0.111,0.06,0.439,0.48,1.39,124.2,31.1,-1.42
FITT,45,47.5,8.3,44.2,1.36,0.283,0.181,0.081,0.468,0.316,1.28,83.5,12.2,-1.84
FITT,60,48.1,1.9,50,1.73,0.383,0.262,0.052,0.387,0.068,1.2,2,1.8,-0.99
FITT,75,57.1,0.6,42.3,1.76,0.359,0.223,0.047,0.37,0.047,1.26,2.1,1.3,-0.05
FORA,5,46.2,34.2,19.6,1.15,0.268,0.093,0.035,0.456,0.115,1.4,55.2,6.6,0.18
FORA,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
FORA,25,45.3,28.6,26.1,1.36,0.255,0.111,0.044,0.421,0.139,1.38,29.8,6.3,-0.36
FORA,45,60.6,17.1,22.2,1.49,0.256,0.107,0.04,0.396,0.11,1.39,25.5,4.7,-0.19
FORA,60,58.9,17.1,24,1.64,0.284,0.127,0.043,0.369,0.065,1.41,7,2.2,0.1
FORA,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
FREE,5,17.3,59.9,22.7,1.2,0.249,0.108,0.042,0.44,0.178,1.38,31.2,9.8,-0.46
FREE,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
FREE,25,15.5,59.9,24.6,1.06,0.204,0.082,0.033,0.467,0.337,1.36,22.9,29.5,-0.91
FREE,45,12.9,58.7,28.4,1.09,0.304,0.105,0.046,0.475,0.071,1.5,35.9,3.4,0.62
FREE,60,17.8,50.6,31.6,1.31,0.215,0.137,0.077,0.431,0.442,1.4,18,20.7,-1.55
FREE,75,10.5,53.6,35.9,1.44,0.245,0.15,0.074,0.411,0.315,1.32,11.6,10.7,-1.68
FTCB,5,78.1,8.8,13.1,1.32,0.101,0.039,0.027,0.441,0.679,1.51,436,86.6,-1.06
FTCB,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
FTCB,25,73,5,22,1.4,0.165,0.084,0.045,0.436,0.504,1.38,234.2,38.9,-1.35
FTCB,45,74.2,2.5,23.3,1.59,0.175,0.093,0.047,0.387,0.406,1.36,120.6,20.6,-1.48
FTCB,60,77.4,3.8,18.9,1.73,0.159,0.076,0.036,0.343,0.36,1.35,70.1,17,-1.45
FTCB,75,79.3,6.9,13.8,1.93,0.139,0.059,0.027,0.286,0.337,1.33,29.3,16.5,-1.55
GOOD,5,36.6,34.6,28.8,1.37,0.253,0.13,0.054,0.424,0.2,1.34,23.1,8.6,-0.9
GOOD,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
GOOD,25,28.2,34,37.8,1.51,0.292,0.168,0.064,0.41,0.149,1.3,11.1,4.5,-0.98
GOOD,45,31,33.2,35.8,1.6,0.254,0.154,0.063,0.379,0.236,1.28,12.1,7.3,-1.65
GOOD,60,34.8,29.4,35.8,1.42,0.214,0.144,0.087,0.419,0.453,1.39,40.6,16.8,-1.73
GOOD,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
GRA2,5,15.7,55.3,29,1.28,0.296,0.191,0.088,0.462,0.307,1.3,27.5,10.4,-1.78
GRA2,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
GRA2,25,13.6,43.2,43.2,1.71,-9.9,0.293,0.081,0.378,0.138,1.29,1.7,2.9,-1.28
GRA2,45,15.6,42.5,41.9,1.73,-9.9,0.286,0.079,0.371,0.14,1.29,1.6,3,-1.33
GRA2,60,16.9,41.9,41.2,1.8,-9.9,0.322,0.074,0.35,0.154,1.25,1.1,3.3,-1.74
GRA2,75,17.5,42.2,40.3,1.83,-9.9,0.307,0.072,0.341,0.16,1.24,1,3.4,-1.92
GUTH,5,47,28.4,24.6,1.65,0.243,0.109,0.04,0.354,0.113,1.36,10.1,4.2,-0.47
GUTH,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
GUTH,25,19.7,44.6,35.7,1.67,0.304,0.164,0.056,0.378,0.081,1.32,3,2.3,-0.36
GUTH,45,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
GUTH,60,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
GUTH,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
HASK,5,10.1,74.2,15.7,1.56,0.38,0.098,0.071,0.425,0.01,2.35,6.1,0.6,0.65
HASK,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
HASK,25,10.5,73.8,15.8,1.41,0.293,0.083,0.04,0.396,0.036,1.7,28.9,1.5,0.73
HASK,45,8.8,73,18.3,1.33,0.268,0.082,0.035,0.403,0.063,1.54,31.6,2.8,0.49
HASK,60,6.6,61.8,31.6,1.44,0.3,0.147,0.061,0.423,0.092,1.39,11.1,2.9,-0.17
HASK,75,3.5,50.2,46.3,1.61,0.42,0.273,0.071,0.444,0.053,1.24,0.8,1.2,-0.18
HECT,5,52.5,33.6,13.9,1.51,0.238,0.067,0.028,0.362,0.072,1.49,18.3,3.2,0.24
HECT,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
HECT,25,67,20.2,12.8,1.22,0.137,0.054,0.026,0.455,0.605,1.4,212.5,69.9,-1.21
HECT,45,76.8,11.3,11.9,-9.9,-9.9,-9.9,0.05,0.379,0.345,1.5,55.1,18.4,-1.08
HECT,60,63.3,13.9,22.8,1.52,0.15,0.08,0.046,0.389,0.488,1.42,133.2,29.4,-1.36
HECT,75,7.1,29.7,63.2,1.42,0.453,0.296,0.078,0.498,0.051,1.26,5.9,1.2,0.17
HINT,5,73,16.9,10,1.29,0.101,0.036,0.024,0.433,0.668,1.5,282,81.7,-1.06
HINT,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
HINT,25,75.5,12.5,11.9,1.35,0.103,0.047,0.03,0.426,0.651,1.56,332.6,76.5,-1.03
HINT,45,71.1,17,11.9,1.36,0.103,0.048,0.031,0.417,0.635,1.58,248.3,70.9,-1.03
HINT,60,73,15,11.9,1.51,0.115,0.046,0.028,0.377,0.538,1.45,156.3,40.6,-1.21
HINT,75,75,15.6,9.4,1.67,0.134,0.048,0.024,0.335,0.387,1.38,56,22.2,-1.29
HOBA,5,11,63.5,25.4,1.31,0.292,0.137,0.055,0.436,0.106,1.4,24.6,4,-0.14
HOBA,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
HOBA,25,5.4,60.3,34.3,1.46,0.38,0.259,0.085,0.457,0.172,1.2,6.6,3.9,-2.24
HOBA,45,7,49,43.9,1.49,0.362,0.24,0.08,0.448,0.152,1.22,5,3.6,-1.71
HOBA,60,8.4,48.4,43.2,1.65,0.358,0.261,0.075,0.407,0.225,1.16,1.4,4.7,-4.1
HOBA,75,8.5,48.3,43.2,1.63,0.331,0.259,0.095,0.401,0.416,1.17,2.5,7.4,-4.82
HOLD,5,27.2,49.2,23.6,1.5,0.328,0.131,0.055,0.402,0.032,1.61,7.3,1.1,0.59
HOLD,10,23.9,50.5,25.6,1.48,0.331,0.129,0.057,0.408,0.031,1.64,7.6,1,0.63
HOLD,25,24.9,50.2,24.9,1.53,0.317,0.133,0.054,0.396,0.04,1.54,6.7,1.3,0.46
HOLD,45,22.7,44.7,32.7,1.55,0.332,0.214,0.069,0.41,0.157,1.24,4.3,4.1,-1.61
HOLD,60,19.7,40,40.3,1.62,0.388,0.234,0.064,0.418,0.045,1.3,1.2,1.1,0.21
HOLD,75,17.2,39.8,43,1.59,0.401,0.239,0.067,0.432,0.038,1.33,1.4,0.9,0.44
HOLL,5,20.7,35.2,44.1,1.5,0.332,0.208,0.073,0.432,0.143,1.26,9.1,3.8,-1.21
HOLL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
HOLL,25,18.1,30.1,51.8,1.7,0.348,0.253,0.067,0.391,0.186,1.17,2.5,4.2,-3.46
HOLL,45,17,30.7,52.4,1.67,0.35,0.249,0.067,0.399,0.166,1.18,3.1,3.9,-2.88
HOLL,60,15.5,30.7,53.8,1.62,0.354,0.251,0.072,0.414,0.172,1.19,4.7,4.1,-2.71
HOLL,75,12.1,31.8,56,1.66,0.35,0.268,0.08,0.404,0.277,1.16,3.8,5.5,-4.58
HOOK,5,36.4,38.8,24.8,1.48,0.226,0.105,0.043,0.382,0.186,1.36,16.7,8,-0.83
HOOK,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
HOOK,25,35.1,29.5,35.4,1.7,0.296,0.187,0.057,0.366,0.156,1.24,3.6,4.4,-1.65
HOOK,45,23.6,31.7,44.7,1.51,0.322,0.231,0.088,0.428,0.298,1.22,11.2,7.2,-2.82
HOOK,60,11,47.1,41.9,1.5,0.327,0.216,0.08,0.431,0.203,1.24,6.8,5.1,-1.97
HOOK,75,7.5,48.2,44.3,1.41,0.384,0.28,0.096,0.473,0.261,1.18,7.2,5.8,-3.46
HUGO,5,34.9,47,18.2,1.31,0.263,0.086,0.034,0.407,0.077,1.48,27.4,3.6,0.34
HUGO,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
HUGO,25,26.6,37.7,35.7,1.59,0.38,0.179,0.066,0.416,0.02,1.59,1.7,0.6,0.77
HUGO,45,14.1,32.2,53.7,1.53,0.426,0.27,0.071,0.457,0.043,1.28,2.6,1,0.32
HUGO,60,14.4,29.6,56,1.59,-9.9,0.294,0.091,0.421,0.17,1.24,4.3,3.3,-1.82
HUGO,75,15.5,27.1,57.4,1.48,0.411,0.295,0.077,0.465,0.14,1.18,6.2,3.2,-2.43
IDAB,5,1.5,67.5,30.9,1.47,0.3,0.147,0.06,0.419,0.091,1.39,9.9,2.8,-0.18
IDAB,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
IDAB,25,5,32.1,62.9,1.17,0.352,0.237,0.111,0.541,0.302,1.25,41.7,10.1,-2.31
IDAB,45,5,26.3,68.7,1.31,0.383,0.285,0.109,0.513,0.32,1.2,27.4,8.3,-3.48
IDAB,60,4.6,27.7,67.7,1.41,0.435,0.307,0.081,0.498,0.113,1.19,8.6,2.6,-1.72
IDAB,75,4.9,27.6,67.5,1.42,0.386,0.303,0.107,0.481,0.36,1.17,14.7,7.7,-4.57
INOL,5,33.4,48.2,18.4,1.42,0.317,0.128,0.051,0.406,0.043,1.55,15.3,1.5,0.52
INOL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
INOL,25,20.7,37.5,41.9,1.14,0.303,0.172,0.078,0.508,0.231,1.32,40.4,10.3,-1.16
INOL,45,5.4,16.6,78,1.28,0.485,0.305,0.083,0.545,0.04,1.31,12.6,1,0.64
INOL,60,5.6,21.7,72.8,1.45,0.476,0.297,0.077,0.498,0.025,1.34,4.1,0.6,1
INOL,75,18,28.6,53.4,1.52,0.374,0.262,0.076,0.444,0.159,1.2,7.3,3.8,-2.26
JAYX,5,7.4,74.5,18.1,1.56,0.342,0.092,0.058,0.406,0.015,2.05,8.8,0.7,0.77
JAYX,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
JAYX,25,6.7,70.8,22.5,1.88,0.32,0.128,0.05,0.356,0.023,1.57,0.7,0.7,0.53
JAYX,45,4.9,68.2,26.9,1.61,0.337,0.128,0.061,0.405,0.024,1.7,4.4,0.8,0.66
JAYX,60,4,44.3,51.8,1.42,0.424,0.262,0.082,0.488,0.054,1.3,4.8,1.2,0.15
JAYX,75,7.2,42.3,50.4,1.52,-9.9,0.306,0.094,0.445,0.14,1.32,4.2,2.9,-1.06
KENT,5,14.8,36.2,48.9,1.42,0.272,0.177,0.09,0.441,0.312,1.29,24.5,9.2,-1.9
KENT,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
KENT,25,15.9,39.9,44.3,1.42,0.257,0.159,0.081,0.43,0.295,1.31,20.5,9.5,-1.67
KENT,45,12.3,44.5,43.2,1.6,0.337,0.238,0.077,0.41,0.227,1.19,3.2,5.2,-3.05
KENT,60,1.6,68.6,29.8,1.6,0.271,0.253,0.222,0.37,0.58,1.64,7.3,1.9,-2.34
KENT,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
KETC,5,44.2,33.3,22.6,1.45,0.278,0.111,0.043,0.397,0.072,1.45,14.1,2.7,0.2
KETC,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
KETC,25,34.9,29.1,36,1.46,0.322,0.16,0.06,0.425,0.069,1.4,10.9,2.1,0.11
KETC,45,19.2,28.6,52.1,1.57,0.388,0.248,0.067,0.434,0.067,1.25,3.8,1.6,-0.32
KETC,60,20.5,27.4,52.1,1.66,0.38,0.249,0.061,0.411,0.069,1.23,2.2,1.7,-0.64
KETC,75,37.2,19.6,43.1,1.71,0.357,0.211,0.053,0.384,0.045,1.3,1.9,1.2,0.14
KIN2,5,54.7,26.4,18.9,1.57,0.171,0.061,0.028,0.353,0.246,1.37,38,12.9,-0.98
KIN2,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
KIN2,25,52.7,21.4,25.8,1.59,0.191,0.078,0.036,0.363,0.215,1.36,40.7,10.1,-0.94
KIN2,45,30.3,27.5,42.2,1.55,0.269,0.154,0.063,0.399,0.176,1.3,19.1,5.5,-1.17
KIN2,60,2.9,58.8,38.3,1.65,0.272,0.188,0.078,0.378,0.351,1.22,3.8,8.3,-2.98
KIN2,75,0.5,65.9,33.6,1.59,0.276,0.16,0.063,0.39,0.19,1.27,5.4,5.7,-1.46
LAHO,5,21.3,59.8,18.9,1.37,0.254,0.094,0.037,0.394,0.095,1.44,25.1,4.2,0.04
